Last credits reset: 24/10/2024 09:57
Next credits reset: 31/12/2024 23:59

Account         | Allocation(SU)  | Remaining(SU)   | Used(SU)   | Used(%) |
-----------------------------------------------------------------------------
cinfo.prova     | 10.0            | 10.0            | 0.0        | 0.0
dc_gmx          | 2000000.0       | 1941132.0       | 58868.0    | 2.9
di.nexus        | 2000000.0       | 1999879.0       | 121.0      | 0.0
di.ridm         | 2000000.0       | 1985996.0       | 14004.0    | 0.7
di.tcb          | 2000000.0       | 1999665.0       | 335.0      | 0.0
di.uav          | 2000000.0       | 2000000.0       | 0.0        | 0.0
diaghpc         | 5000.0          | 5000.0          | 0.0        | 0.0
dima.rlas       | 2000000.0       | 1999943.0       | 57.0       | 0.0
dpnu.pvvt       | 2000000.0       | 2000000.0       | 0.0        | 0.0
dss.dmaia       | 2000000.0       | 1784348.0       | 215652.0   | 10.8
dss.msagpf      | 2000000.0       | 1980156.0       | 19844.0    | 1.0
progett_prova   | 9999999.0       | 9841910.0       | 158089.0   | 1.6
sgtest          | 4000000.0       | 2755812.0       | 1244188.0  | 31.1
testrusso       | 2000000.0       | 2000000.0       | 0.0        | 0.0
vr-test01       | 100000.0        | 99802.0         | 198.0      | 0.2
